"以下の Mystery プロシージャでは、パラメータ数は正の整数である。

 PROCEDURE Mystery (number)
 {
  REPEAT UNTIL (number <= 0)
  {
   number ← number - 2
  }
  IF (number = 0)
  {
   RETURN (true)
  }
  ELSE
  {
   RETURN (false)
  }
 }

  プロシージャ Mystery を実行した結果について、最もよく表しているのは次のうちどれか?",プロシージャは数の初期値が 2 のときに真を返し、そうでないときは偽を返す。,手続きは、数の初期値が 2 より大きいときに真を返し、そうでないときは偽を返す。,数の初期値が偶数のとき、プロシージャは真を返し、そうでなければ偽を返す。,このプロシージャは、数の初期値が奇数のときに真を返し、そうでないときは偽を返す。,C
Insectクラスが作成され、次のデータフィールドを含む:age、これはInsectが構築されるときに初期化される。nextAvailableID、これはコンストラクタの外部で0に初期化され、Insectが構築されるたびにインクリメントされる。 idNum、これはInsectが構築されるとき、nextAvailableIDの現在の値に初期化される。position、これはInsectが構築されるとき、Insectが配置される庭の位置に初期化される。direction、これはInsectが庭に配置されるとき、Insectが向いている方向に初期化される。Insectクラスのどの変数をスタティック型にすべきか?,年齢,nextAvailableID,idNum,位置,B
数値のソートされたリストには500個の要素が含まれている。リスト内の値に対して二分探索を実行する際に検査されるリスト要素の最大数に最も近いものは次のうちどれか?,10,50,250,500,A
Python 3において、乱数生成に使用する整数の開始値を設定する関数は次のうちどれか?,choice(seq),"randrange ([start,] stop [,step])",random(),seed([x]),D
Python 3 では、['Hi!'] * 4 の出力は何か?,"['Hi!', 'Hi!', 'Hi!', 'Hi!']",['Hi!'] * 4,エラー,上記のどれでもない,A
ある大学の図書館の全書籍のテキストの電子保存について、次のような仮定を考えよ。- 大学の図書館にはトータルで300万冊の本がある。- 1冊の本には平均400ページが含まれる。- 1ページには平均50行が含まれる。- 1ページの1行は平均10単語を含む。- 1単語には平均5文字が含まれる。- 1文字は1バイトで表される。与えられた仮定に基づき、大学の図書館の全書籍のテキストに必要な電子記憶容量を測定する単位で最も適切なものは次のうちどれか?,メガバイト( 2^20 または 約 10^6 バイト),ギガバイト( 2^30 または 約 10^9 バイト),テラバイト( 2^40 または 約 10^12 バイト),ペタバイト( 2^50または約10^15バイト),C
検索エンジンには、検索語の人気度に関する情報を提供するトレンド追跡機能がある。データは、地域、日付、カテゴリーでフィルタリングできる。カテゴリーには、アートとエンターテイメント、コンピュータとエレクトロニクス、ゲーム、ニュース、人々と社会、ショッピング、スポーツ、旅行が含まれる。次の質問のうち、トレンド機能を使って回答できる可能性が最も低いものはどれか?,特定のスポーツが最も検索されるのは何月か?,人々が興味を持っている政治家候補は?,ある電化製品の価格は?,オペラ公演を検索する人が最も多いのはその国のどの地域か?,C
"Python 3では、['a', 'Chemistry', 0, 1][1]は何か?",a,Chemistry,0,1,B
分散型サービス拒否(D D o S)攻撃がサービス拒否(D o S)攻撃と異なる主な点について、最も適切に説明しているのは次のうちどれか?,攻撃の目的,攻撃を受けているコンピュータの数,攻撃を開始するコンピュータの数,攻撃が発生する期間,C
ユーザーの個人的なプライバシーを侵害する可能性が最も高いものは次のうちどれか?,ユーザーのウェブ・ブラウザが保存しているクッキーのグループ,ユーザーのコンピュータのインターネット・プロトコル（IP）アドレス,ユーザーの電子メールアドレス,暗号化に使われるユーザーの公開鍵,A
新しいデバイスがインターネットに接続されたときに起こることを、最もよく説明しているのは次のうちどれか?,デバイスにデバイスドライバが割り当てられる。,デバイスにインターネットプロトコル（IP）アドレスが割り当てられる。,デバイスにパケット番号が割り当てられる。,デバイスにウェブサイトが割り当てられる,B
"a,b,cが整数であるとき、a < c || a < b && !(a == c)という式が真と評価されることを保証するのに十分な条件は次のうちどれか?",a < c,a < b,a > b,a == b,A
"l = [1,2,2,3,4]とする。Python3では、set(l)の可能な出力は何か?",{1},"{1,2,2,3,4}","{1,2,3,4}","{4,3,2,2,1}",C
"靴を販売する小売業者は、その小売店で販売されている各商品に関する以下の情報が記録された単一データベースを管理している。

   ° 商品識別番号
   ° 靴の種類（スニーカー、ブーツ、サンダルなど）
   ° 販売価格（ドル）
   ° サイズ
   ° 色
   ° 入荷数

 データベースのみを使用して、次のうちどれを判断できるか?",データベースにリストアップされている商品のうち、現在店頭にないものはどれか,女性よりも男性に人気のある色はどれか,大人の間で最も人気のある靴のタイプはどれか,特定の月に販売された靴の総数,A
パイソンにおける4*1**4の出力は?,4,1,256,16,A
"以下のnextIntInRangemethodを参照せよ: 
 /** @低から高の範囲のランダムな整数を返す（始終点を含む） */
 public int nextIntInRange(int low, int high)
 {
 return /* 式 */
 }
 事後条件を満たす値を必ず返す/* 式 */はどれか?",(int) (Math.random() * high) + low;,(int) (Math.random() * (high - low)) + low;,(int) (Math.random() * (high - low + 1)) + low;,(int) (Math.random() * (high + low)) + low;,C
"Python 3 では、 b = [11,13,15,17,19,21]; print(b[::2]) は何を出力するか?","[19,21]","[11,15]","[11,15,19]","[13,17,21]",C
N個の数の平均を求めるアルゴリズムは、average = sum / Nである。ここでのNとsumはどちらも整数である。このアルゴリズムを使ったプログラムで、あるプログラマーがNが0に等しいかどうかをチェックするテストを入れ忘れた。Nがゼロの場合、エラーはいつ検出されるか?,コンパイル時,編集時,Nの値が入力された直後,実行時,D
大きな数字のリストを昇順にソートする。「データ移動」とは要素の入れ替えや再割り当てであると仮定すると、正しい記述は次のうちどれか?,配列が最初に降順にソートされている場合、挿入ソートは選択ソートよりも効率的。,選択ソートの比較回数は、要素の初期配置に依存しない。,挿入ソートの比較回数は、要素の初期配置に依存しない。,選択ソートにおけるデータ移動の回数は、要素の初期配置に依存する。,B
"変数r、s、tを使用する次のコードセグメントを考えよ。
  r ← 1
   s ← 2
   t ← 3
   r ← s
   s ← t
   DISPLAY (r)
   DISPLAY (s)

 このコードセグメントを実行した結果、何が表示されるか?",1 1,1 2,2 3,3 2,C
デジタル写真ファイルには、写真の各ピクセルの赤、緑、青のレベルを表すデータが含まれている。このファイルには、写真が撮影された日付と地理的な場所を表すメタデータも含まれている。次の目標のうち、データを分析するよりもメタデータを分析する方が適切なものはどれか?,写真が空の写真である可能性を判断する,写真が特定の公共イベントで撮影された可能性を判断する,写真に写っている人の数を判断する,特定の色の背景に投影する写真の使いやすさを判断する,B
"Python 3では、['a', 'Chemistry', 0, 1][-3] は何か?",a,Chemistry,0,1,B
異なるメーカーが製造した2台のコンピュータがある。一方はウェブサーバーを実行し、もう一方はウェブブラウザを実行している。この2台のコンピュータがインターネットを介して互いに通信できることを最もよく表しているのは次のうちどれか?,製造元が異なると、使用する通信プロトコルが異なるため、コンピュータは通信できない。,コンピューターは通信できるが、一方のコンピューターのプロトコルからもう一方のコンピューターのプロトコルにデータパケットを変換するために、追加のハードウェアが必要。,コンピュータが直接通信できるのは、メッセージがテキストで構成されている場合に限られる。他の形式はコンピュータ間で解釈できない。,インターネット通信は標準プロトコルを使用しているので、コンピュータは直接通信できる。,D
次の行為のうち、最も個人的なサイバーセキュリティリスクが高いものはどれか?,クレジットカード情報の送信に公開鍵暗号化を使用しているオンラインストアで買い物をする,安全な電子決済システムを使用した請求書の支払い,クレジットカード番号をホテルに電子メールで送信してホテルの部屋を予約する,現金自動預払機(ATM)を使用した銀行口座からの現金の引き出し,C
